S1,S2,S3,S4,S5,S6,S7,S8,OBSTACLE,ACTION
50,7.17,4.86,2.73,50,50,50,50,30.2,1
50,7.41,4.48,2.75,50,50,50,50,30.2,1
50,7.23,4.96,2.75,50,50,50,50,30.2,1
50,3.29,3.83,2.88,50,50,50,50,30.3,1
50,3.09,3.9,2.93,50,50,50,50,30.3,1
50,3.33,3.93,2.9,50,50,50,50,30.3,1
50,3.23,3.84,3.11,50,50,50,50,30.3,1
50,3.14,3.91,3.16,50,50,50,50,30.3,1
50,50,50,50,50,6.93,3.21,4.22,31.1,0
50,50,50,50,50,7.19,3.21,4.26,31.1,0
50,50,50,50,50,6.76,3.19,4.17,31.1,0
50,50,50,50,50,6.23,3.18,4.2,31.1,0
50,50,50,50,50,6.18,3.28,4.21,31.1,0
50,50,50,50,50,10.52,3.52,4.5,31.2,0
50,50,50,50,50,10.66,3.54,4.5,31.2,0
50,50,50,50,50,10.57,3.79,4.55,31.2,0
50,50,50,50,50,10.95,3.83,4.46,31.2,0
50,50,50,50,50,10.79,3.55,4.44,31.2,0
50,50,50,50,50,3.62,2.54,4.21,31.3,0
50,50,50,50,50,3.47,2.5,4.22,31.3,0
50,50,50,50,50,3.54,2.52,4.22,31.3,0
50,50,50,50,50,3.52,2.52,4.24,31.3,0
50,50,50,50,50,3.38,2.56,4.17,31.3,0
50,4.1,6.4,50,50,50,50,50,33,1
50,4.09,6.61,50,50,50,50,50,33,1
50,4.1,6.49,50,50,50,50,50,33,1
50,4.15,6.37,50,50,50,50,50,33,1
50,4.86,6.44,50,50,50,50,50,33,1
50,4.14,6.54,50,50,50,50,50,33,2
50,4.08,6.37,50,50,50,50,50,33,2
50,4.07,6.47,50,50,50,50,50,33,2
50,4.1,6.49,50,50,50,50,50,33,2
50,4.12,6.52,50,50,50,50,50,33,2
50,4.05,6.45,50,50,50,50,50,33,2
50,50,50,3.71,21.07,50,50,50,34,2
50,50,50,3.72,21,50,50,50,34,2
50,50,50,3.78,21.2,50,50,50,34,2
50,50,50,3.81,21.38,50,50,50,34,2
50,50,50,3.79,21.33,50,50,50,34,2
50,50,50,3.74,21.09,50,50,50,34,2
50,50,50,3.81,21.35,50,50,50,34,2
50,50,50,3.69,21.05,50,50,50,34,2
50,50,50,3.72,21.06,50,50,50,34,2
50,50,50,3.74,21.09,50,50,50,34,2
50,50,50,3.78,21.38,50,50,50,34,2
15.68,50,50,50,50,50,50,2.47,35,0
15.6,50,50,50,50,50,50,2.5,35,0
15.65,50,50,50,50,50,50,2.5,35,0
15.7,50,50,50,50,50,50,2.49,35,0
15.68,50,50,50,50,50,50,2.46,35,0
15.67,50,50,50,50,50,50,2.49,35,0
15.74,50,50,50,50,50,50,2.42,35,0
15.69,50,50,50,50,50,50,2.41,35,0
15.72,50,50,50,50,50,50,2.47,35,0
